Coin,Market_Cap,Daily_Return (%),Trading_Volume,Category
Trust Wallet Token,2600,2.8,1700,Wallet
SafeMoon,420,-5.8,210,Meme Coin
Mog Coin,310,10.2,180,Meme Coin
Turbo,280,11.4,160,Meme Coin
Book of Meme,680,9.8,520,Meme Coin
Pixels,890,3.2,700,Gaming
Beam,1450,2.5,920,Gaming
Illuvium,2100,4.1,1400,Gaming
Gala Games,1850,3.4,1200,Gaming
Magic,980,2.7,680,Gaming
Echelon Prime,760,5.6,430,Gaming
Aleph Zero,1250,3.1,850,Privacy
XDC Network,3200,2.9,2300,Payment
